DAY.STR,DAWN.STR,NIGHT.STR,RAIN.STR
13201,13201,13201,13201
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
12400,12400,12400,12400
18800,18800,18800,18800
18800,18800,18800,18800
14200,14200,14200,14200
18799,18799,18799,18799
15000,15000,15000,15000
18837,18837,18837,18837
19099,19099,19099,19099
18800,18800,18800,18800
18064,18064,18064,18064
19258,19258,19258,19258
17526,17526,17526,17526
18799,18799,18799,18799
11200,11200,11200,11200
22199,22199,22199,22199
13600,13600,13600,13600
20799,20799,20799,20799
16400,16400,16400,16400
18799,18799,18799,18799
16400,16400,16400,16400
18800,18800,18800,18800
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
16000,16000,16000,16000
15600,15600,15600,15600
18800,18800,18800,18800
8800,8800,8800,8800
18999,18999,18999,18999
10000,10000,10000,10000
18799,18799,18799,18799
14400,14400,14400,14400
19619,19619,19619,19619
14231,14231,14231,14231
16749,16749,16749,16749
17600,17600,17600,17600
18953,18953,18953,18953
18100,18100,18100,18100
20799,20799,20799,20799
17200,17200,17200,17200
20799,20799,20799,20799
17200,17200,17200,17200
18799,18799,18799,18799
12400,12400,12400,12400
18799,18799,18799,18799
18800,18800,18800,18800
15199,15199,15199,15199
18801,18801,18801,18801
18799,18799,18799,18799
18300,18300,18300,18300
18799,18799,18799,18799
14400,14400,14400,14400
18799,18799,18799,18799
13200,13200,13200,13200
12599,12599,12599,12599
18800,18800,18800,18800
12599,12599,12599,12599
18800,18800,18800,18800
12399,12399,12399,12399
18800,18800,18800,18800
14000,14000,14000,14000
13400,13400,13400,13400
18799,18799,18799,18799
12400,12400,12400,12400
20950,20950,20950,20950
18908,18908,18908,18908
15912,15912,15912,15912
15930,15930,15930,15930
14999,14999,14999,14999
14001,14001,14001,14001
18799,18799,18799,18799
18800,18800,18800,18800
16399,16399,16399,16399
16100,16100,16100,16100
18799,18799,18799,18799
13800,13800,13800,13800
16399,16399,16399,16399
17000,17000,17000,17000
18799,18799,18799,18799
16400,16400,16400,16400
18800,18800,18800,18800
12600,12600,12600,12600
18799,18799,18799,18799
13200,13200,13200,13200
18799,18799,18799,18799
14600,14600,14600,14600
14000,14000,14000,14000
14000,14000,14000,14000
18799,18799,18799,18799
12400,12400,12400,12400
18799,18799,18799,18799
9369,9369,9369,9369
17612,17612,17612,17612
14144,14144,14144,14144
20136,20136,20136,20136
24248,24248,24248,24248
19425,19425,19425,19425
20063,20063,20063,20063
17344,17344,17344,17344
18803,18803,18803,18803
17702,17702,17702,17702
18805,18805,18805,18805
21999,21999,21999,21999
18804,18804,18804,18804
16000,16000,16000,16000
18800,18800,18800,18800
17399,17399,17399,17399
18800,18800,18800,18800
12638,12638,12638,12638
18800,18800,18800,18800
16338,16338,16338,16338
18800,18800,18800,18800
16799,16799,16799,16799
18800,18800,18800,18800
15309,15309,15309,15309
18800,18800,18800,18800
12399,12399,12399,12399
18800,18800,18800,18800
13199,13199,13199,13199
18800,18800,18800,18800
12399,12399,12399,12399
18800,18800,18800,18800
14299,14299,14299,14299
20400,20400,20400,20400
13301,13301,13301,13301
13700,13700,13700,13700
18799,18799,18799,18799
12300,12300,12300,12300
15999,15999,15999,15999
18027,18027,18027,18027
18299,18299,18299,18299
17100,17100,17100,17100
18799,18799,18799,18799
12800,12800,12800,12800
18800,18800,18800,18800
14000,14000,14000,14000
18800,18800,18800,18800
16600,16600,16600,16600
15200,15200,15200,15200
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
15199,15199,15199,15199
18800,18800,18800,18800
19299,19299,19299,19299
18800,18800,18800,18800
20499,20499,20499,20499
17800,17800,17800,17800
18800,18800,18800,18800
13100,13100,13100,13100
16700,16700,16700,16700
21750,21750,21750,21750
18800,18800,18800,18800
15004,15004,15004,15004
15200,15200,15200,15200
19800,19800,19800,19800
11797,11797,11797,11797
18800,18800,18800,18800
16399,16399,16399,16399
18828,18828,18828,18828
18299,18299,18299,18299
18800,18800,18800,18800
15200,15200,15200,15200
18800,18800,18800,18800
11873,11873,11873,11873
18800,18800,18800,18800
16000,16000,16000,16000
18800,18800,18800,18800
13910,13910,13910,13910
18800,18800,18800,18800
18800,18800,18800,18800
16600,16600,16600,16600
18100,18100,18100,18100
18807,18807,18807,18807
12543,12543,12543,12543
18804,18804,18804,18804
16514,16514,16514,16514
18815,18815,18815,18815
13257,13257,13257,13257
18800,18800,18800,18800
11900,11900,11900,11900
18875,18875,18875,18875
13939,13939,13939,13939
18830,18830,18830,18830
12000,12000,12000,12000
18800,18800,18800,18800
21862,21862,21862,21862
18800,18800,18800,18800
22101,22101,22101,22101
19037,19037,19037,19037
21780,21780,21780,21780
18806,18806,18806,18806
13380,13380,13380,13380
18970,18970,18970,18970
18083,18083,18083,18083
18810,18810,18810,18810
18801,18801,18801,18801
12300,12300,12300,12300
17599,17599,17599,17599
19500,19500,19500,19500
