DAY.STR,DAWN.STR,NIGHT.STR,RAIN.STR
18240,18240,18240,18240
12436,12436,12436,12436
20199,20199,20199,20199
10068,10068,10068,10068
18999,18999,18999,18999
18900,18900,18900,18900
18901,18901,18901,18901
22062,22062,22062,22062
18816,18816,18816,18816
21486,21486,21486,21486
18816,18816,18816,18816
21486,21486,21486,21486
10008,10008,10008,10008
18803,18803,18803,18803
18800,18800,18800,18800
18800,18800,18800,18800
14800,14800,14800,14800
18800,18800,18800,18800
12201,12201,12201,12201
19200,19200,19200,19200
11266,11266,11266,11266
14805,14805,14805,14805
18811,18811,18811,18811
14796,14796,14796,14796
18814,18814,18814,18814
10796,10796,10796,10796
17903,17903,17903,17903
10017,10017,10017,10017
19219,19219,19219,19219
19428,19428,19428,19428
18859,18859,18859,18859
22086,22086,22086,22086
18859,18859,18859,18859
22086,22086,22086,22086
14221,14221,14221,14221
14214,14214,14214,14214
14221,14221,14221,14221
14214,14214,14214,14214
18805,18805,18805,18805
12400,12400,12400,12400
18868,18868,18868,18868
12400,12400,12400,12400
7899,7899,7899,7899
13804,13804,13804,13804
8761,8761,8761,8761
18800,18800,18800,18800
8761,8761,8761,8761
18800,18800,18800,18800
14074,14074,14074,14074
18800,18800,18800,18800
11213,11213,11213,11213
13795,13795,13795,13795
12200,12200,12200,12200
19200,19200,19200,19200
18799,18799,18799,18799
18800,18800,18800,18800
12599,12599,12599,12599
18800,18800,18800,18800
16599,16599,16599,16599
18800,18800,18800,18800
20422,20422,20422,20422
24600,24600,24600,24600
19799,19799,19799,19799
24000,24000,24000,24000
3199,3199,3199,3199
18800,18800,18800,18800
21477,21477,21477,21477
18885,18885,18885,18885
19279,19279,19279,19279
19335,19335,19335,19335
19237,19237,19237,19237
18851,18851,18851,18851
18811,18811,18811,18811
12622,12622,12622,12622
23504,23504,23504,23504
23028,23028,23028,23028
18799,18799,18799,18799
22086,22086,22086,22086
18799,18799,18799,18799
22086,22086,22086,22086
17209,17209,17209,17209
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
10599,10599,10599,10599
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
15814,15814,15814,15814
18809,18809,18809,18809
10835,10835,10835,10835
19015,19015,19015,19015
18837,18837,18837,18837
14109,14109,14109,14109
13999,13999,13999,13999
18800,18800,18800,18800
18799,18799,18799,18799
20000,20000,20000,20000
19202,19202,19202,19202
18801,18801,18801,18801
19369,19369,19369,19369
18800,18800,18800,18800
22065,22065,22065,22065
18853,18853,18853,18853
22345,22345,22345,22345
21000,21000,21000,21000
20035,20035,20035,20035
19318,19318,19318,19318
19243,19243,19243,19243
18851,18851,18851,18851
18316,18316,18316,18316
14371,14371,14371,14371
23981,23981,23981,23981
24400,24400,24400,24400
22152,22152,22152,22152
24508,24508,24508,24508
20006,20006,20006,20006
20286,20286,20286,20286
16216,16216,16216,16216
14379,14379,14379,14379
21999,21999,21999,21999
16200,16200,16200,16200
14000,14000,14000,14000
14421,14421,14421,14421
10805,10805,10805,10805
18800,18800,18800,18800
13399,13399,13399,13399
18800,18800,18800,18800
14002,14002,14002,14002
18908,18908,18908,18908
13999,13999,13999,13999
17345,17345,17345,17345
10799,10799,10799,10799
18000,18000,18000,18000
18801,18801,18801,18801
18800,18800,18800,18800
19180,19180,19180,19180
18800,18800,18800,18800
19180,19180,19180,19180
18800,18800,18800,18800
19180,19180,19180,19180
18800,18800,18800,18800
19181,19181,19181,19181
21800,21800,21800,21800
18715,18715,18715,18715
22750,22750,22750,22750
18676,18676,18676,18676
12475,12475,12475,12475
21223,21223,21223,21223
18200,18200,18200,18200
19599,19599,19599,19599
19388,19388,19388,19388
18800,18800,18800,18800
13800,13800,13800,13800
14000,14000,14000,14000
18800,18800,18800,18800
17999,17999,17999,17999
9809,9809,9809,9809
22001,22001,22001,22001
18200,18200,18200,18200
20399,20399,20399,20399
18807,18807,18807,18807
13999,13999,13999,13999
18808,18808,18808,18808
18802,18802,18802,18802
19000,19000,19000,19000
19180,19180,19180,19180
18800,18800,18800,18800
19181,19181,19181,19181
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18933,18933,18933,18933
21801,21801,21801,21801
19532,19532,19532,19532
31908,31908,31908,31908
18354,18354,18354,18354
9028,9028,9028,9028
19199,19199,19199,19199
14421,14421,14421,14421
14399,14399,14399,14399
18800,18800,18800,18800
16399,16399,16399,16399
18800,18800,18800,18800
13242,13242,13242,13242
18800,18800,18800,18800
10424,10424,10424,10424
18800,18800,18800,18800
20069,20069,20069,20069
29153,29153,29153,29153
16457,16457,16457,16457
6676,6676,6676,6676
18799,18799,18799,18799
19800,19800,19800,19800
19199,19199,19199,19199
16986,16986,16986,16986
9199,9199,9199,9199
7000,7000,7000,7000
18799,18799,18799,18799
8400,8400,8400,8400
14423,14423,14423,14423
14007,14007,14007,14007
18799,18799,18799,18799
15433,15433,15433,15433
18799,18799,18799,18799
11613,11613,11613,11613
18822,18822,18822,18822
14000,14000,14000,14000
19181,19181,19181,19181
18800,18800,18800,18800
19311,19311,19311,19311
21853,21853,21853,21853
21425,21425,21425,21425
19000,19000,19000,19000
21904,21904,21904,21904
21010,21010,21010,21010
15549,15549,15549,15549
18850,18850,18850,18850
15149,15149,15149,15149
18850,18850,18850,18850
18099,18099,18099,18099
14700,14700,14700,14700
1600,1600,1600,1600
16000,16000,16000,16000
19199,19199,19199,19199
18186,18186,18186,18186
18799,18799,18799,18799
14003,14003,14003,14003
18799,18799,18799,18799
14003,14003,14003,14003
16399,16399,16399,16399
13418,13418,13418,13418
10599,10599,10599,10599
18803,18803,18803,18803
18799,18799,18799,18799
18800,18800,18800,18800
18850,18850,18850,18850
12691,12691,12691,12691
12404,12404,12404,12404
13827,13827,13827,13827
18800,18800,18800,18800
13207,13207,13207,13207
21486,21486,21486,21486
18130,18130,18130,18130
23999,23999,23999,23999
22187,22187,22187,22187
18826,18826,18826,18826
18150,18150,18150,18150
18799,18799,18799,18799
23386,23386,23386,23386
11400,11400,11400,11400
18800,18800,18800,18800
11400,11400,11400,11400
18800,18800,18800,18800
