0,1,0
0,8,0
1,31,0
2,58,0
3,69,0
4,74,0
6,82,0
7,132,0
7,9,0
7,10,0
7,11,0
22,13,0
7,15,0
11,0,2
23,0,3
10,19,5
3,23,0
6,24,0
23,25,9
3,20,0
2,21,0
7,22,0
15,0,6
15,0,7
15,0,8
2,28,0
3,29,0
6,30,0
11,0,11
10,0,12
11,0,13
6,32,0
6,33,0
4,35,0
6,40,0
4,36,0
6,37,0
1,38,0
6,39,0
11,0,14
6,42,0
7,54,0
26,0,15
22,44,18
34,0,20
3,47,0
30,0,25
4,48,0
0,49,0
7,50,0
5,51,0
3,52,0
6,53,0
14,0,24
4,55,0
0,56,0
4,57,0
9,0,28
5,59,0
21,60,29
21,61,31
12,63,33
5,64,0
29,0,34
16,0,37
33,0,39
20,68,43
29,0,46
13,0,45
4,70,0
12,71,49
4,72,0
20,73,50
12,0,52
3,75,0
3,76,0
3,77,0
3,78,0
2,80,0
11,0,54
3,81,0
11,0,53
1,83,0
9,84,55
0,86,0
1,89,0
17,87,56
9,0,58
13,0,59
8,93,60
1,126,0
12,129,139
13,0,144
8,0,61
25,97,62
28,100,69
29,119,112
1,99,0
29,0,66
9,0,65
4,102,0
13,109,83
9,106,72
3,107,0
29,108,76
31,0,80
15,0,73
21,0,74
11,0,79
32,113,84
50,0,89
36,114,95
38,116,102
10,0,88
10,0,99
23,0,100
24,0,106
17,0,109
11,0,111
48,122,115
17,125,128
12,0,131
8,0,121
33,0,122
21,0,126
8,0,130
32,0,132
9,0,136
20,0,137
8,0,140
9,0,141
21,0,142
0,133,0
0,134,0
8,0,145
