40,1,0
16,9,5
65,31,23
34,44,49
43,54,67
20,64,91
61,72,107
22,80,130
31,86,146
43,11,7
7,14,0
10,13,12
11,0,14
11,0,13
10,0,15
14,16,16
2,20,0
3,25,0
6,27,0
7,29,0
3,22,0
7,23,0
15,0,17
11,0,18
15,0,19
2,26,0
10,0,20
3,28,0
11,0,21
2,30,0
10,0,22
50,33,31
14,35,40
10,0,37
19,0,38
11,0,41
7,37,0
11,39,42
7,42,0
10,41,43
22,0,45
11,0,44
10,43,47
11,0,48
49,46,53
13,52,64
0,50,0
12,0,60
21,0,61
15,0,63
1,51,0
8,0,59
8,53,65
13,0,66
64,56,72
20,63,88
0,61,0
17,0,81
12,0,83
29,0,84
14,0,87
0,62,0
8,0,80
9,0,90
3,66,0
39,67,94
14,0,93
2,70,0
30,71,99
31,0,104
11,0,98
23,0,102
2,74,0
54,76,117
23,75,114
13,0,116
22,0,123
23,78,125
23,79,127
14,0,129
41,82,132
29,85,141
4,83,0
24,0,137
13,0,140
21,0,144
32,88,149
60,90,156
10,0,153
21,0,154
12,0,163
13,0,164
